initial_temp,final_temp,attempt,best_iter,best_cost
300,0.05,67,8989,81.0
300,0.05,68,365081,82.5
300,0.05,69,4358,92.0
300,0.05,70,65408,78.5
300,0.05,71,263382,62.5
300,0.05,72,208623,68.5
300,0.05,73,401170,82.5
300,0.05,74,148452,71.5
300,0.05,75,160822,65.5
300,0.05,76,82747,72.5
300,0.05,77,179586,81.0
300,0.05,78,39231,70.5
300,0.05,79,118854,71.5
300,0.05,80,229951,70.5
300,0.05,81,6116,74.5
300,0.05,82,192965,79.0
300,0.05,83,83948,72.5
300,0.05,84,17411,66.5
300,0.05,85,61096,87.5
300,0.05,86,101269,88.5
300,0.05,87,116487,71.0
300,0.05,88,321347,68.0
300,0.05,89,33154,71.0
300,0.05,90,95460,77.5
300,0.05,91,135206,56.5
300,0.05,92,92469,62.5
300,0.05,93,113986,61.5
300,0.05,94,35282,84.5
300,0.05,95,122816,82.5
300,0.05,96,85179,68.0
300,0.05,97,145060,77.0
300,0.05,98,221978,67.5
300,0.1,1,271204,61.0
300,0.1,2,18705,75.5
300,0.1,3,6250,63.5
300,0.1,4,3346,81.0
300,0.1,5,6361,69.5
300,0.1,6,17637,56.5
300,0.1,7,332360,69.5
300,0.1,8,172709,80.0
300,0.1,9,169501,78.0
300,0.1,10,93889,96.0
300,0.1,11,10500,60.5
300,0.1,12,7009,72.5
300,0.1,13,123035,80.0
300,0.1,14,236595,60.5
300,0.1,15,217350,80.5
300,0.1,16,399559,68.5
300,0.1,17,34740,76.0
300,0.1,18,44232,66.0
300,0.1,19,28956,81.5
300,0.1,20,100832,66.5
300,0.1,21,157330,68.5
300,0.1,22,11556,81.0
300,0.1,23,159087,77.5
300,0.1,24,60085,64.5
300,0.1,25,175837,72.5
300,0.1,26,251612,71.5
300,0.1,27,246494,66.0
300,0.1,28,60298,68.5
300,0.1,29,129010,60.0
300,0.1,30,63251,62.0
300,0.1,31,74360,67.5
300,0.1,32,181075,66.5
300,0.1,33,96950,81.0
300,0.1,34,86144,60.5
300,0.1,35,33284,88.0
300,0.1,36,144638,50.5
300,0.1,37,227815,79.0
300,0.1,38,14130,88.0
300,0.1,39,263176,56.5
300,0.1,40,106590,77.0
300,0.1,41,45507,69.5
300,0.1,42,137220,70.0
300,0.1,43,165098,58.0
300,0.1,44,81446,70.0
300,0.1,45,113791,90.0
300,0.1,46,148764,63.5
300,0.1,47,45737,75.0
300,0.1,48,145224,82.5
300,0.1,49,139552,84.0
300,0.1,50,91633,60.5
300,0.1,51,21347,64.5
300,0.1,52,139084,69.0
300,0.1,53,363787,84.0
300,0.1,54,146043,67.0
300,0.1,55,202270,72.5
300,0.1,56,130945,74.0
300,0.1,57,397177,77.0
300,0.1,58,26947,88.5
300,0.1,59,19565,72.5
300,0.1,60,276949,71.5
300,0.1,61,217400,86.5
300,0.1,62,377815,58.5
300,0.1,63,161108,75.0
300,0.1,64,16866,85.5
300,0.1,65,83023,72.5
300,0.1,66,13845,85.0
300,0.1,67,41514,54.0
300,0.1,68,119513,62.5
300,0.1,69,321292,64.5
300,0.1,70,5935,86.5
300,0.1,71,8956,72.0
300,0.1,72,214218,67.0
300,0.1,73,172360,66.0
300,0.1,74,15651,73.0
300,0.1,75,130303,96.0
300,0.1,76,7845,91.0
300,0.1,77,84121,70.5
300,0.1,78,11589,98.0
300,0.1,79,35190,81.5
300,0.1,80,368492,68.5
300,0.1,81,264028,82.5
300,0.1,82,248642,55.5
300,0.1,83,4497,88.5
300,0.1,84,64828,71.5
300,0.1,85,143415,72.0
300,0.1,86,145353,82.5
300,0.1,87,20058,71.0
300,0.1,88,159725,66.0
300,0.1,89,73259,66.5
300,0.1,90,124287,82.5
300,0.1,91,189265,72.0
300,0.1,92,15724,63.0
300,0.1,93,183291,70.5
300,0.1,94,205310,71.0
300,0.1,95,162081,60.5
300,0.1,96,170446,73.0
300,0.1,97,84284,77.5
300,0.15,1,111865,101.0
300,0.15,2,164307,68.5
300,0.15,3,17002,72.5
300,0.15,4,28722,82.5
300,0.15,5,52666,57.0
300,0.15,6,88350,74.5
300,0.15,7,235977,87.0
300,0.15,8,142663,63.0
300,0.15,9,357119,81.5
300,0.15,10,77683,88.0
300,0.15,11,100978,80.5
